MeasureItem	Year	Month	Value	ProvidedValue	AVG_Value	FromCountryMapCode	ToCountryMapCode	MeasureTime	Direction	Flag	FromCountryMemberType	ToCountryMemberType	CreatedDateTime	UpdatedDateTime
Physical Energy & Power Flows	2025	6	251	251	251	AT	CH	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	6	260	260	260	AT	CH	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	7	253	253	253	AT	CH	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	7	99	99	99	AT	CH	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	8	279	279	279	AT	CH	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	8	117	117	117	AT	CH	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	9	117	117	117	AT	CH	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	9	274	274	274	AT	CH	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	1	1089	1089	1089	AT	CZ	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	2	965	965	965	AT	CZ	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	3	1	1	1	AT	CZ	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	3	847	847	847	AT	CZ	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	4	20	20	20	AT	CZ	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	4	518	518	518	AT	CZ	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	5	12	12	12	AT	CZ	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	5	543	543	543	AT	CZ	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	6	23	23	23	AT	CZ	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	6	479	479	479	AT	CZ	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	7	12	12	12	AT	CZ	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	7	618	618	618	AT	CZ	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	8	5	5	5	AT	CZ	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	8	47	47	47	AT	CZ	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	9	4	4	4	AT	CZ	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	9	91	91	91	AT	CZ	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	1	43	43	43	AT	DE	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	1	1122	1122	1122	AT	DE	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	2	31	31	31	AT	DE	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	2	1043	1043	1043	AT	DE	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	3	51	51	51	AT	DE	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	3	825	825	825	AT	DE	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	4	263	263	263	AT	DE	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	4	496	496	496	AT	DE	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	5	190	190	190	AT	DE	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	5	580	580	580	AT	DE	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	6	222	222	222	AT	DE	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	6	541	541	541	AT	DE	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	7	208	208	208	AT	DE	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
